,WordForm,LemmaCase,Frequency,Cues,Outcomes
636,gnezdima,gnezdo_loc_Pl,9,"('#g', 'gn', 'ne', 'ez', 'zd', 'di', 'im', 'ma', 'a#')","('gnezdo', 'loc', 'Pl')"
637,godina,godina_nom_Sg,116,"('#g', 'go', 'od', 'di', 'in', 'na', 'a#')","('godina', 'nom', 'Sg')"
638,godine,godina_gen_Sg,1900,"('#g', 'go', 'od', 'di', 'in', 'ne', 'e#')","('godina', 'gen', 'Sg')"
639,godini,godina_dat_Sg,2,"('#g', 'go', 'od', 'di', 'in', 'ni', 'i#')","('godina', 'dat', 'Sg')"
640,godinu,godina_acc_Sg,242,"('#g', 'go', 'od', 'di', 'in', 'nu', 'u#')","('godina', 'acc', 'Sg')"
641,godinom,godina_ins_Sg,9,"('#g', 'go', 'od', 'di', 'in', 'no', 'om', 'm#')","('godina', 'ins', 'Sg')"
642,godini,godina_loc_Sg,246,"('#g', 'go', 'od', 'di', 'in', 'ni', 'i#')","('godina', 'loc', 'Sg')"
643,godine,godina_nom_Pl,224,"('#g', 'go', 'od', 'di', 'in', 'ne', 'e#')","('godina', 'nom', 'Pl')"
644,godina,godina_gen_Pl,827,"('#g', 'go', 'od', 'di', 'in', 'na', 'a#')","('godina', 'gen', 'Pl')"
645,godinama,godina_dat_Pl,2,"('#g', 'go', 'od', 'di', 'in', 'na', 'am', 'ma', 'a#')","('godina', 'dat', 'Pl')"
646,godine,godina_acc_Pl,142,"('#g', 'go', 'od', 'di', 'in', 'ne', 'e#')","('godina', 'acc', 'Pl')"
647,godinama,godina_ins_Pl,84,"('#g', 'go', 'od', 'di', 'in', 'na', 'am', 'ma', 'a#')","('godina', 'ins', 'Pl')"
648,godinama,godina_loc_Pl,25,"('#g', 'go', 'od', 'di', 'in', 'na', 'am', 'ma', 'a#')","('godina', 'loc', 'Pl')"
649,golub,golub_nom_Sg,57,"('#g', 'go', 'ol', 'lu', 'ub', 'b#')","('golub', 'nom', 'Sg')"
650,goluba,golub_gen_Sg,12,"('#g', 'go', 'ol', 'lu', 'ub', 'ba', 'a#')","('golub', 'gen', 'Sg')"
651,golubu,golub_dat_Sg,9,"('#g', 'go', 'ol', 'lu', 'ub', 'bu', 'u#')","('golub', 'dat', 'Sg')"
652,goluba,golub_acc_Sg,12,"('#g', 'go', 'ol', 'lu', 'ub', 'ba', 'a#')","('golub', 'acc', 'Sg')"
653,golubom,golub_ins_Sg,2,"('#g', 'go', 'ol', 'lu', 'ub', 'bo', 'om', 'm#')","('golub', 'ins', 'Sg')"
654,golubu,golub_loc_Sg,2,"('#g', 'go', 'ol', 'lu', 'ub', 'bu', 'u#')","('golub', 'loc', 'Sg')"
655,golubovi,golub_nom_Pl,80,"('#g', 'go', 'ol', 'lu', 'ub', 'bo', 'ov', 'vi', 'i#')","('golub', 'nom', 'Pl')"
656,golubova,golub_gen_Pl,46,"('#g', 'go', 'ol', 'lu', 'ub', 'bo', 'ov', 'va', 'a#')","('golub', 'gen', 'Pl')"
657,golubovima,golub_dat_Pl,4,"('#g', 'go', 'ol', 'lu', 'ub', 'bo', 'ov', 'vi', 'im', 'ma', 'a#')","('golub', 'dat', 'Pl')"
658,golubove,golub_acc_Pl,34,"('#g', 'go', 'ol', 'lu', 'ub', 'bo', 'ov', 've', 'e#')","('golub', 'acc', 'Pl')"
659,golubovima,golub_ins_Pl,3,"('#g', 'go', 'ol', 'lu', 'ub', 'bo', 'ov', 'vi', 'im', 'ma', 'a#')","('golub', 'ins', 'Pl')"
660,golubovima,golub_loc_Pl,1,"('#g', 'go', 'ol', 'lu', 'ub', 'bo', 'ov', 'vi', 'im', 'ma', 'a#')","('golub', 'loc', 'Pl')"
661,gora,gora_nom_Sg,107,"('#g', 'go', 'or', 'ra', 'a#')","('gora', 'nom', 'Sg')"
662,gore,gora_gen_Sg,77,"('#g', 'go', 'or', 're', 'e#')","('gora', 'gen', 'Sg')"
663,gori,gora_dat_Sg,8,"('#g', 'go', 'or', 'ri', 'i#')","('gora', 'dat', 'Sg')"
664,goru,gora_acc_Sg,76,"('#g', 'go', 'or', 'ru', 'u#')","('gora', 'acc', 'Sg')"
665,gorom,gora_ins_Sg,70,"('#g', 'go', 'or', 'ro', 'om', 'm#')","('gora', 'ins', 'Sg')"
666,gori,gora_loc_Sg,75,"('#g', 'go', 'or', 'ri', 'i#')","('gora', 'loc', 'Sg')"
667,gore,gora_nom_Pl,35,"('#g', 'go', 'or', 're', 'e#')","('gora', 'nom', 'Pl')"
668,gora,gora_gen_Pl,141,"('#g', 'go', 'or', 'ra', 'a#')","('gora', 'gen', 'Pl')"
669,gorama,gora_dat_Pl,2,"('#g', 'go', 'or', 'ra', 'am', 'ma', 'a#')","('gora', 'dat', 'Pl')"
670,gore,gora_acc_Pl,62,"('#g', 'go', 'or', 're', 'e#')","('gora', 'acc', 'Pl')"
671,gorama,gora_ins_Pl,21,"('#g', 'go', 'or', 'ra', 'am', 'ma', 'a#')","('gora', 'ins', 'Pl')"
672,gorama,gora_loc_Pl,16,"('#g', 'go', 'or', 'ra', 'am', 'ma', 'a#')","('gora', 'loc', 'Pl')"
673,grad,grad_nom_Sg,418,"('#g', 'gr', 'ra', 'ad', 'd#')","('grad', 'nom', 'Sg')"
674,grada,grad_gen_Sg,736,"('#g', 'gr', 'ra', 'ad', 'da', 'a#')","('grad', 'gen', 'Sg')"
675,gradu,grad_dat_Sg,44,"('#g', 'gr', 'ra', 'ad', 'du', 'u#')","('grad', 'dat', 'Sg')"
676,grad,grad_acc_Sg,322,"('#g', 'gr', 'ra', 'ad', 'd#')","('grad', 'acc', 'Sg')"
677,gradom,grad_ins_Sg,215,"('#g', 'gr', 'ra', 'ad', 'do', 'om', 'm#')","('grad', 'ins', 'Sg')"
678,gradu,grad_loc_Sg,300,"('#g', 'gr', 'ra', 'ad', 'du', 'u#')","('grad', 'loc', 'Sg')"
679,gradovi,grad_nom_Pl,54,"('#g', 'gr', 'ra', 'ad', 'do', 'ov', 'vi', 'i#')","('grad', 'nom', 'Pl')"
680,gradova,grad_gen_Pl,95,"('#g', 'gr', 'ra', 'ad', 'do', 'ov', 'va', 'a#')","('grad', 'gen', 'Pl')"
681,gradovima,grad_dat_Pl,2,"('#g', 'gr', 'ra', 'ad', 'do', 'ov', 'vi', 'im', 'ma', 'a#')","('grad', 'dat', 'Pl')"
682,gradove,grad_acc_Pl,73,"('#g', 'gr', 'ra', 'ad', 'do', 'ov', 've', 'e#')","('grad', 'acc', 'Pl')"
683,gradovima,grad_ins_Pl,14,"('#g', 'gr', 'ra', 'ad', 'do', 'ov', 'vi', 'im', 'ma', 'a#')","('grad', 'ins', 'Pl')"
684,gradovima,grad_loc_Pl,61,"('#g', 'gr', 'ra', 'ad', 'do', 'ov', 'vi', 'im', 'ma', 'a#')","('grad', 'loc', 'Pl')"
685,grana,grana_nom_Sg,177,"('#g', 'gr', 'ra', 'an', 'na', 'a#')","('grana', 'nom', 'Sg')"
686,grane,grana_gen_Sg,97,"('#g', 'gr', 'ra', 'an', 'ne', 'e#')","('grana', 'gen', 'Sg')"
687,grani,grana_dat_Sg,6,"('#g', 'gr', 'ra', 'an', 'ni', 'i#')","('grana', 'dat', 'Sg')"
688,granu,grana_acc_Sg,89,"('#g', 'gr', 'ra', 'an', 'nu', 'u#')","('grana', 'acc', 'Sg')"
689,granom,grana_ins_Sg,40,"('#g', 'gr', 'ra', 'an', 'no', 'om', 'm#')","('grana', 'ins', 'Sg')"
690,grani,grana_loc_Sg,96,"('#g', 'gr', 'ra', 'an', 'ni', 'i#')","('grana', 'loc', 'Sg')"
691,grane,grana_nom_Pl,204,"('#g', 'gr', 'ra', 'an', 'ne', 'e#')","('grana', 'nom', 'Pl')"
692,grana,grana_gen_Pl,183,"('#g', 'gr', 'ra', 'an', 'na', 'a#')","('grana', 'gen', 'Pl')"
693,granama,grana_dat_Pl,4,"('#g', 'gr', 'ra', 'an', 'na', 'am', 'ma', 'a#')","('grana', 'dat', 'Pl')"
694,grane,grana_acc_Pl,217,"('#g', 'gr', 'ra', 'an', 'ne', 'e#')","('grana', 'acc', 'Pl')"
695,granama,grana_ins_Pl,32,"('#g', 'gr', 'ra', 'an', 'na', 'am', 'ma', 'a#')","('grana', 'ins', 'Pl')"
696,granama,grana_loc_Pl,91,"('#g', 'gr', 'ra', 'an', 'na', 'am', 'ma', 'a#')","('grana', 'loc', 'Pl')"
697,greben,greben_nom_Sg,1,"('#g', 'gr', 're', 'eb', 'be', 'en', 'n#')","('greben', 'nom', 'Sg')"
698,grebena,greben_gen_Sg,15,"('#g', 'gr', 're', 'eb', 'be', 'en', 'na', 'a#')","('greben', 'gen', 'Sg')"
699,grebenu,greben_dat_Sg,1,"('#g', 'gr', 're', 'eb', 'be', 'en', 'nu', 'u#')","('greben', 'dat', 'Sg')"
700,greben,greben_acc_Sg,5,"('#g', 'gr', 're', 'eb', 'be', 'en', 'n#')","('greben', 'acc', 'Sg')"
701,grebenom,greben_ins_Sg,1,"('#g', 'gr', 're', 'eb', 'be', 'en', 'no', 'om', 'm#')","('greben', 'ins', 'Sg')"
702,grebenu,greben_loc_Sg,10,"('#g', 'gr', 're', 'eb', 'be', 'en', 'nu', 'u#')","('greben', 'loc', 'Sg')"
703,grebeni,greben_nom_Pl,5,"('#g', 'gr', 're', 'eb', 'be', 'en', 'ni', 'i#')","('greben', 'nom', 'Pl')"
704,grebena,greben_gen_Pl,6,"('#g', 'gr', 're', 'eb', 'be', 'en', 'na', 'a#')","('greben', 'gen', 'Pl')"
705,grebenima,greben_dat_Pl,2,"('#g', 'gr', 're', 'eb', 'be', 'en', 'ni', 'im', 'ma', 'a#')","('greben', 'dat', 'Pl')"
706,grebene,greben_acc_Pl,8,"('#g', 'gr', 're', 'eb', 'be', 'en', 'ne', 'e#')","('greben', 'acc', 'Pl')"
707,grebenima,greben_ins_Pl,1,"('#g', 'gr', 're', 'eb', 'be', 'en', 'ni', 'im', 'ma', 'a#')","('greben', 'ins', 'Pl')"
708,grebenima,greben_loc_Pl,2,"('#g', 'gr', 're', 'eb', 'be', 'en', 'ni', 'im', 'ma', 'a#')","('greben', 'loc', 'Pl')"
709,grupa,grupa_nom_Sg,165,"('#g', 'gr', 'ru', 'up', 'pa', 'a#')","('grupa', 'nom', 'Sg')"
710,grupe,grupa_gen_Sg,105,"('#g', 'gr', 'ru', 'up', 'pe', 'e#')","('grupa', 'gen', 'Sg')"
711,grupi,grupa_dat_Sg,19,"('#g', 'gr', 'ru', 'up', 'pi', 'i#')","('grupa', 'dat', 'Sg')"
712,grupu,grupa_acc_Sg,39,"('#g', 'gr', 'ru', 'up', 'pu', 'u#')","('grupa', 'acc', 'Sg')"
713,grupom,grupa_ins_Sg,12,"('#g', 'gr', 'ru', 'up', 'po', 'om', 'm#')","('grupa', 'ins', 'Sg')"
714,grupi,grupa_loc_Sg,33,"('#g', 'gr', 'ru', 'up', 'pi', 'i#')","('grupa', 'loc', 'Sg')"
715,grupe,grupa_nom_Pl,57,"('#g', 'gr', 'ru', 'up', 'pe', 'e#')","('grupa', 'nom', 'Pl')"
716,grupa,grupa_gen_Pl,45,"('#g', 'gr', 'ru', 'up', 'pa', 'a#')","('grupa', 'gen', 'Pl')"
717,grupama,grupa_dat_Pl,2,"('#g', 'gr', 'ru', 'up', 'pa', 'am', 'ma', 'a#')","('grupa', 'dat', 'Pl')"
718,grupe,grupa_acc_Pl,26,"('#g', 'gr', 'ru', 'up', 'pe', 'e#')","('grupa', 'acc', 'Pl')"
719,grupama,grupa_ins_Pl,4,"('#g', 'gr', 'ru', 'up', 'pa', 'am', 'ma', 'a#')","('grupa', 'ins', 'Pl')"
720,grupama,grupa_loc_Pl,14,"('#g', 'gr', 'ru', 'up', 'pa', 'am', 'ma', 'a#')","('grupa', 'loc', 'Pl')"
721,igra,igra_nom_Sg,177,"('#i', 'ig', 'gr', 'ra', 'a#')","('igra', 'nom', 'Sg')"
722,igre,igra_gen_Sg,170,"('#i', 'ig', 'gr', 're', 'e#')","('igra', 'gen', 'Sg')"
723,igri,igra_dat_Sg,10,"('#i', 'ig', 'gr', 'ri', 'i#')","('igra', 'dat', 'Sg')"
724,igru,igra_acc_Sg,205,"('#i', 'ig', 'gr', 'ru', 'u#')","('igra', 'acc', 'Sg')"
725,igrom,igra_ins_Sg,47,"('#i', 'ig', 'gr', 'ro', 'om', 'm#')","('igra', 'ins', 'Sg')"
726,igri,igra_loc_Sg,65,"('#i', 'ig', 'gr', 'ri', 'i#')","('igra', 'loc', 'Sg')"
727,igre,igra_nom_Pl,135,"('#i', 'ig', 'gr', 're', 'e#')","('igra', 'nom', 'Pl')"
728,igara,igra_gen_Pl,51,"('#i', 'ig', 'ga', 'ar', 'ra', 'a#')","('igra', 'gen', 'Pl')"
729,igrama,igra_dat_Pl,3,"('#i', 'ig', 'gr', 'ra', 'am', 'ma', 'a#')","('igra', 'dat', 'Pl')"
730,igre,igra_acc_Pl,42,"('#i', 'ig', 'gr', 're', 'e#')","('igra', 'acc', 'Pl')"
731,igrama,igra_ins_Pl,2,"('#i', 'ig', 'gr', 'ra', 'am', 'ma', 'a#')","('igra', 'ins', 'Pl')"
732,igrama,igra_loc_Pl,11,"('#i', 'ig', 'gr', 'ra', 'am', 'ma', 'a#')","('igra', 'loc', 'Pl')"
733,ime,ime_nom_Sg,159,"('#i', 'im', 'me', 'e#')","('ime', 'nom', 'Sg')"
734,imena,ime_gen_Sg,84,"('#i', 'im', 'me', 'en', 'na', 'a#')","('ime', 'gen', 'Sg')"
735,imenu,ime_dat_Sg,3,"('#i', 'im', 'me', 'en', 'nu', 'u#')","('ime', 'dat', 'Sg')"
736,ime,ime_acc_Sg,508,"('#i', 'im', 'me', 'e#')","('ime', 'acc', 'Sg')"
737,imenom,ime_ins_Sg,50,"('#i', 'im', 'me', 'en', 'no', 'om', 'm#')","('ime', 'ins', 'Sg')"
738,imenu,ime_loc_Sg,20,"('#i', 'im', 'me', 'en', 'nu', 'u#')","('ime', 'loc', 'Sg')"
739,imena,ime_nom_Pl,35,"('#i', 'im', 'me', 'en', 'na', 'a#')","('ime', 'nom', 'Pl')"
740,imena,ime_gen_Pl,34,"('#i', 'im', 'me', 'en', 'na', 'a#')","('ime', 'gen', 'Pl')"
741,imenima,ime_dat_Pl,1,"('#i', 'im', 'me', 'en', 'ni', 'im', 'ma', 'a#')","('ime', 'dat', 'Pl')"
742,imena,ime_acc_Pl,50,"('#i', 'im', 'me', 'en', 'na', 'a#')","('ime', 'acc', 'Pl')"
743,imenima,ime_ins_Pl,12,"('#i', 'im', 'me', 'en', 'ni', 'im', 'ma', 'a#')","('ime', 'ins', 'Pl')"
744,imenima,ime_loc_Pl,1,"('#i', 'im', 'me', 'en', 'ni', 'im', 'ma', 'a#')","('ime', 'loc', 'Pl')"
745,interes,interes_nom_Sg,20,"('#i', 'in', 'nt', 'te', 'er', 're', 'es', 's#')","('interes', 'nom', 'Sg')"
746,interesa,interes_gen_Sg,21,"('#i', 'in', 'nt', 'te', 'er', 're', 'es', 'sa', 'a#')","('interes', 'gen', 'Sg')"
747,interesu,interes_dat_Sg,1,"('#i', 'in', 'nt', 'te', 'er', 're', 'es', 'su', 'u#')","('interes', 'dat', 'Sg')"
748,interes,interes_acc_Sg,3,"('#i', 'in', 'nt', 'te', 'er', 're', 'es', 's#')","('interes', 'acc', 'Sg')"
749,interesom,interes_ins_Sg,2,"('#i', 'in', 'nt', 'te', 'er', 're', 'es', 'so', 'om', 'm#')","('interes', 'ins', 'Sg')"
750,interesu,interes_loc_Sg,38,"('#i', 'in', 'nt', 'te', 'er', 're', 'es', 'su', 'u#')","('interes', 'loc', 'Sg')"
751,interesi,interes_nom_Pl,22,"('#i', 'in', 'nt', 'te', 'er', 're', 'es', 'si', 'i#')","('interes', 'nom', 'Pl')"
752,interesa,interes_gen_Pl,32,"('#i', 'in', 'nt', 'te', 'er', 're', 'es', 'sa', 'a#')","('interes', 'gen', 'Pl')"
753,interesima,interes_dat_Pl,25,"('#i', 'in', 'nt', 'te', 'er', 're', 'es', 'si', 'im', 'ma', 'a#')","('interes', 'dat', 'Pl')"
754,interese,interes_acc_Pl,36,"('#i', 'in', 'nt', 'te', 'er', 're', 'es', 'se', 'e#')","('interes', 'acc', 'Pl')"
755,interesima,interes_ins_Pl,13,"('#i', 'in', 'nt', 'te', 'er', 're', 'es', 'si', 'im', 'ma', 'a#')","('interes', 'ins', 'Pl')"
756,interesima,interes_loc_Pl,11,"('#i', 'in', 'nt', 'te', 'er', 're', 'es', 'si', 'im', 'ma', 'a#')","('interes', 'loc', 'Pl')"
757,iskustvo,iskustvo_nom_Sg,21,"('#i', 'is', 'sk', 'ku', 'us', 'st', 'tv', 'vo', 'o#')","('iskustvo', 'nom', 'Sg')"
758,iskustva,iskustvo_gen_Sg,49,"('#i', 'is', 'sk', 'ku', 'us', 'st', 'tv', 'va', 'a#')","('iskustvo', 'gen', 'Sg')"
759,iskustvu,iskustvo_dat_Sg,1,"('#i', 'is', 'sk', 'ku', 'us', 'st', 'tv', 'vu', 'u#')","('iskustvo', 'dat', 'Sg')"
760,iskustvo,iskustvo_acc_Sg,15,"('#i', 'is', 'sk', 'ku', 'us', 'st', 'tv', 'vo', 'o#')","('iskustvo', 'acc', 'Sg')"
761,iskustvom,iskustvo_ins_Sg,14,"('#i', 'is', 'sk', 'ku', 'us', 'st', 'tv', 'vo', 'om', 'm#')","('iskustvo', 'ins', 'Sg')"
762,iskustvu,iskustvo_loc_Sg,1,"('#i', 'is', 'sk', 'ku', 'us', 'st', 'tv', 'vu', 'u#')","('iskustvo', 'loc', 'Sg')"
763,iskustva,iskustvo_nom_Pl,18,"('#i', 'is', 'sk', 'ku', 'us', 'st', 'tv', 'va', 'a#')","('iskustvo', 'nom', 'Pl')"
764,iskustava,iskustvo_gen_Pl,20,"('#i', 'is', 'sk', 'ku', 'us', 'st', 'ta', 'av', 'va', 'a#')","('iskustvo', 'gen', 'Pl')"
765,iskustvima,iskustvo_dat_Pl,2,"('#i', 'is', 'sk', 'ku', 'us', 'st', 'tv', 'vi', 'im', 'ma', 'a#')","('iskustvo', 'dat', 'Pl')"
766,iskustva,iskustvo_acc_Pl,16,"('#i', 'is', 'sk', 'ku', 'us', 'st', 'tv', 'va', 'a#')","('iskustvo', 'acc', 'Pl')"
767,iskustvima,iskustvo_ins_Pl,6,"('#i', 'is', 'sk', 'ku', 'us', 'st', 'tv', 'vi', 'im', 'ma', 'a#')","('iskustvo', 'ins', 'Pl')"
768,iskustvima,iskustvo_loc_Pl,3,"('#i', 'is', 'sk', 'ku', 'us', 'st', 'tv', 'vi', 'im', 'ma', 'a#')","('iskustvo', 'loc', 'Pl')"
769,izjava,izjava_nom_Sg,59,"('#i', 'iz', 'zj', 'ja', 'av', 'va', 'a#')","('izjava', 'nom', 'Sg')"
770,izjave,izjava_gen_Sg,31,"('#i', 'iz', 'zj', 'ja', 'av', 've', 'e#')","('izjava', 'gen', 'Sg')"
771,izjavi,izjava_dat_Sg,5,"('#i', 'iz', 'zj', 'ja', 'av', 'vi', 'i#')","('izjava', 'dat', 'Sg')"
772,izjavu,izjava_acc_Sg,65,"('#i', 'iz', 'zj', 'ja', 'av', 'vu', 'u#')","('izjava', 'acc', 'Sg')"
773,izjavom,izjava_ins_Sg,11,"('#i', 'iz', 'zj', 'ja', 'av', 'vo', 'om', 'm#')","('izjava', 'ins', 'Sg')"
774,izjavi,izjava_loc_Sg,44,"('#i', 'iz', 'zj', 'ja', 'av', 'vi', 'i#')","('izjava', 'loc', 'Sg')"
775,izjave,izjava_nom_Pl,16,"('#i', 'iz', 'zj', 'ja', 'av', 've', 'e#')","('izjava', 'nom', 'Pl')"
776,izjava,izjava_gen_Pl,9,"('#i', 'iz', 'zj', 'ja', 'av', 'va', 'a#')","('izjava', 'gen', 'Pl')"
777,izjavama,izjava_dat_Pl,1,"('#i', 'iz', 'zj', 'ja', 'av', 'va', 'am', 'ma', 'a#')","('izjava', 'dat', 'Pl')"
778,izjave,izjava_acc_Pl,16,"('#i', 'iz', 'zj', 'ja', 'av', 've', 'e#')","('izjava', 'acc', 'Pl')"
779,izjavama,izjava_ins_Pl,2,"('#i', 'iz', 'zj', 'ja', 'av', 'va', 'am', 'ma', 'a#')","('izjava', 'ins', 'Pl')"
780,izjavama,izjava_loc_Pl,8,"('#i', 'iz', 'zj', 'ja', 'av', 'va', 'am', 'ma', 'a#')","('izjava', 'loc', 'Pl')"
781,izvor,izvor_nom_Sg,102,"('#i', 'iz', 'zv', 'vo', 'or', 'r#')","('izvor', 'nom', 'Sg')"
782,izvora,izvor_gen_Sg,70,"('#i', 'iz', 'zv', 'vo', 'or', 'ra', 'a#')","('izvor', 'gen', 'Sg')"
783,izvoru,izvor_dat_Sg,7,"('#i', 'iz', 'zv', 'vo', 'or', 'ru', 'u#')","('izvor', 'dat', 'Sg')"
784,izvor,izvor_acc_Sg,35,"('#i', 'iz', 'zv', 'vo', 'or', 'r#')","('izvor', 'acc', 'Sg')"
785,izvorom,izvor_ins_Sg,6,"('#i', 'iz', 'zv', 'vo', 'or', 'ro', 'om', 'm#')","('izvor', 'ins', 'Sg')"
786,izvoru,izvor_loc_Sg,33,"('#i', 'iz', 'zv', 'vo', 'or', 'ru', 'u#')","('izvor', 'loc', 'Sg')"
787,izvori,izvor_nom_Pl,65,"('#i', 'iz', 'zv', 'vo', 'or', 'ri', 'i#')","('izvor', 'nom', 'Pl')"
788,izvora,izvor_gen_Pl,69,"('#i', 'iz', 'zv', 'vo', 'or', 'ra', 'a#')","('izvor', 'gen', 'Pl')"
789,izvorima,izvor_dat_Pl,4,"('#i', 'iz', 'zv', 'vo', 'or', 'ri', 'im', 'ma', 'a#')","('izvor', 'dat', 'Pl')"
790,izvore,izvor_acc_Pl,47,"('#i', 'iz', 'zv', 'vo', 'or', 're', 'e#')","('izvor', 'acc', 'Pl')"
791,izvorima,izvor_ins_Pl,10,"('#i', 'iz', 'zv', 'vo', 'or', 'ri', 'im', 'ma', 'a#')","('izvor', 'ins', 'Pl')"
792,izvorima,izvor_loc_Pl,7,"('#i', 'iz', 'zv', 'vo', 'or', 'ri', 'im', 'ma', 'a#')","('izvor', 'loc', 'Pl')"
793,jablan,jablan_nom_Sg,62,"('#j', 'ja', 'ab', 'bl', 'la', 'an', 'n#')","('jablan', 'nom', 'Sg')"
794,jablana,jablan_gen_Sg,17,"('#j', 'ja', 'ab', 'bl', 'la', 'an', 'na', 'a#')","('jablan', 'gen', 'Sg')"
795,jablanu,jablan_dat_Sg,4,"('#j', 'ja', 'ab', 'bl', 'la', 'an', 'nu', 'u#')","('jablan', 'dat', 'Sg')"
796,jablan,jablan_acc_Sg,11,"('#j', 'ja', 'ab', 'bl', 'la', 'an', 'n#')","('jablan', 'acc', 'Sg')"
797,jablanom,jablan_ins_Sg,2,"('#j', 'ja', 'ab', 'bl', 'la', 'an', 'no', 'om', 'm#')","('jablan', 'ins', 'Sg')"
798,jablanu,jablan_loc_Sg,2,"('#j', 'ja', 'ab', 'bl', 'la', 'an', 'nu', 'u#')","('jablan', 'loc', 'Sg')"
799,jablani,jablan_nom_Pl,71,"('#j', 'ja', 'ab', 'bl', 'la', 'an', 'ni', 'i#')","('jablan', 'nom', 'Pl')"
800,jablanova,jablan_gen_Pl,38,"('#j', 'ja', 'ab', 'bl', 'la', 'an', 'no', 'ov', 'va', 'a#')","('jablan', 'gen', 'Pl')"
801,jablanovima,jablan_dat_Pl,4,"('#j', 'ja', 'ab', 'bl', 'la', 'an', 'no', 'ov', 'vi', 'im', 'ma', 'a#')","('jablan', 'dat', 'Pl')"
802,jablane,jablan_acc_Pl,8,"('#j', 'ja', 'ab', 'bl', 'la', 'an', 'ne', 'e#')","('jablan', 'acc', 'Pl')"
803,jablanima,jablan_ins_Pl,10,"('#j', 'ja', 'ab', 'bl', 'la', 'an', 'ni', 'im', 'ma', 'a#')","('jablan', 'ins', 'Pl')"
804,jablanima,jablan_loc_Pl,10,"('#j', 'ja', 'ab', 'bl', 'la', 'an', 'ni', 'im', 'ma', 'a#')","('jablan', 'loc', 'Pl')"
805,junak,junak_nom_Sg,37,"('#j', 'ju', 'un', 'na', 'ak', 'k#')","('junak', 'nom', 'Sg')"
806,junaka,junak_gen_Sg,25,"('#j', 'ju', 'un', 'na', 'ak', 'ka', 'a#')","('junak', 'gen', 'Sg')"
807,junaku,junak_dat_Sg,2,"('#j', 'ju', 'un', 'na', 'ak', 'ku', 'u#')","('junak', 'dat', 'Sg')"
808,junaka,junak_acc_Sg,6,"('#j', 'ju', 'un', 'na', 'ak', 'ka', 'a#')","('junak', 'acc', 'Sg')"
809,junakom,junak_ins_Sg,2,"('#j', 'ju', 'un', 'na', 'ak', 'ko', 'om', 'm#')","('junak', 'ins', 'Sg')"
810,junaku,junak_loc_Sg,3,"('#j', 'ju', 'un', 'na', 'ak', 'ku', 'u#')","('junak', 'loc', 'Sg')"
811,junaci,junak_nom_Pl,22,"('#j', 'ju', 'un', 'na', 'ac', 'ci', 'i#')","('junak', 'nom', 'Pl')"
812,junaka,junak_gen_Pl,30,"('#j', 'ju', 'un', 'na', 'ak', 'ka', 'a#')","('junak', 'gen', 'Pl')"
813,junacima,junak_dat_Pl,2,"('#j', 'ju', 'un', 'na', 'ac', 'ci', 'im', 'ma', 'a#')","('junak', 'dat', 'Pl')"
814,junake,junak_acc_Pl,14,"('#j', 'ju', 'un', 'na', 'ak', 'ke', 'e#')","('junak', 'acc', 'Pl')"
815,junacima,junak_ins_Pl,2,"('#j', 'ju', 'un', 'na', 'ac', 'ci', 'im', 'ma', 'a#')","('junak', 'ins', 'Pl')"
816,junacima,junak_loc_Pl,3,"('#j', 'ju', 'un', 'na', 'ac', 'ci', 'im', 'ma', 'a#')","('junak', 'loc', 'Pl')"
817,kap,kap_nom_Sg,169,"('#k', 'ka', 'ap', 'p#')","('kap', 'nom', 'Sg')"
818,kapi,kap_gen_Sg,25,"('#k', 'ka', 'ap', 'pi', 'i#')","('kap', 'gen', 'Sg')"
819,kapi,kap_dat_Sg,1,"('#k', 'ka', 'ap', 'pi', 'i#')","('kap', 'dat', 'Sg')"
820,kap,kap_acc_Sg,61,"('#k', 'ka', 'ap', 'p#')","('kap', 'acc', 'Sg')"
821,kapi,kap_ins_Sg,6,"('#k', 'ka', 'ap', 'pi', 'i#')","('kap', 'ins', 'Sg')"
822,kapi,kap_loc_Sg,9,"('#k', 'ka', 'ap', 'pi', 'i#')","('kap', 'loc', 'Sg')"
823,kapi,kap_nom_Pl,93,"('#k', 'ka', 'ap', 'pi', 'i#')","('kap', 'nom', 'Pl')"
824,kapi,kap_gen_Pl,33,"('#k', 'ka', 'ap', 'pi', 'i#')","('kap', 'gen', 'Pl')"
825,kapima,kap_dat_Pl,1,"('#k', 'ka', 'ap', 'pi', 'im', 'ma', 'a#')","('kap', 'dat', 'Pl')"
826,kapi,kap_acc_Pl,33,"('#k', 'ka', 'ap', 'pi', 'i#')","('kap', 'acc', 'Pl')"
827,kapima,kap_ins_Pl,7,"('#k', 'ka', 'ap', 'pi', 'im', 'ma', 'a#')","('kap', 'ins', 'Pl')"
828,kapima,kap_loc_Pl,3,"('#k', 'ka', 'ap', 'pi', 'im', 'ma', 'a#')","('kap', 'loc', 'Pl')"
829,ki{a,ki{a_nom_Sg,396,"('#k', 'ki', 'i{', '{a', 'a#')","('ki{a', 'nom', 'Sg')"
830,ki{e,ki{a_gen_Sg,242,"('#k', 'ki', 'i{', '{e', 'e#')","('ki{a', 'gen', 'Sg')"
831,ki{i,ki{a_dat_Sg,13,"('#k', 'ki', 'i{', '{i', 'i#')","('ki{a', 'dat', 'Sg')"
